"Index" "AAPL.Adjusted"
2011-04-05 44.323199
2011-04-06 44.212027
2011-04-07 44.217259
2011-04-08 43.822277
2011-04-11 43.265112
2011-04-12 43.474376
2011-04-13 43.962219
2011-04-14 43.476992
2011-04-15 42.828276
2011-04-18 43.402442
2011-04-19 44.188485
2011-04-20 44.783578
2011-04-21 45.86782
2011-04-25 46.169945
2011-04-26 45.831202
2011-04-27 45.795886
2011-04-28 45.351202
2011-04-29 45.79327
2011-05-02 45.289732
2011-05-03 45.54085
2011-05-04 45.72003
2011-05-05 45.351202
2011-05-06 45.339433
2011-05-09 45.462374
2011-05-10 45.704335
2011-05-11 45.413983
2011-05-12 45.32766
2011-05-13 44.53377
2011-05-16 43.592086
2011-05-17 43.963529
2011-05-18 44.451372
2011-05-19 44.537695
2011-05-20 43.843204
2011-05-23 43.735954
2011-05-24 43.446912
2011-05-25 44.047233
2011-05-26 43.814429
2011-05-27 44.12963
2011-05-31 45.492455
2011-06-01 45.189023
2011-06-02 45.266189
2011-06-03 44.918292
2011-06-06 44.212027
2011-06-07 43.427291
2011-06-08 43.453449
2011-06-09 43.355357
2011-06-10 42.624247
2011-06-13 42.715798
2011-06-14 43.479608
2011-06-15 42.735415
2011-06-16 42.527461
2011-06-17 41.886592
2011-06-20 41.240496
2011-06-21 42.545772
2011-06-22 42.193949
2011-06-23 43.321354
2011-06-24 42.683102
2011-06-27 43.427291
2011-06-28 43.848435
2011-06-29 43.688872
2011-06-30 43.902058
2011-07-01 44.894749
2011-07-05 45.701719
2011-07-06 46.006456
2011-07-07 46.717953
2011-07-08 47.046233
2011-07-11 46.299428
2011-07-12 46.266728
2011-07-13 46.825199
2011-07-14 46.792503
2011-07-15 47.727645
2011-07-18 48.889057
2011-07-19 49.287961
2011-07-20 50.602394
2011-07-21 50.653405
2011-07-22 51.439448
2011-07-25 52.11955
2011-07-26 52.761728
2011-07-27 51.346587
2011-07-28 51.245878
2011-07-29 51.07062
2011-08-01 51.890669
2011-08-02 50.865282
2011-08-03 51.343971
2011-08-04 49.355973
2011-08-05 48.865514
2011-08-08 46.196103
