"Index" "GOOG.Adjusted"
2009-12-16 298.581939
2009-12-17 296.673849
2009-12-18 297.912594
2009-12-21 299.04148
2009-12-22 300.260243
2009-12-23 305.534978
2009-12-24 308.931613
2009-12-28 311.124419
2009-12-29 309.391155
2009-12-30 311.054464
2009-12-31 309.680858
2010-01-04 313.062468
2010-01-05 311.683844
2010-01-06 303.826685
2010-01-07 296.753749
2010-01-08 300.709808
2010-01-11 300.255255
2010-01-12 294.945572
2010-01-13 293.252243
2010-01-14 294.630868
2010-01-15 289.710772
2010-01-19 293.516976
2010-01-20 289.915587
2010-01-21 291.199286
2010-01-22 274.730736
2010-01-25 269.73074
2010-01-26 270.939526
2010-01-27 270.779695
2010-01-28 266.878565
2010-01-29 264.705742
2010-02-01 266.244198
2010-02-02 265.295156
2010-02-03 270.140309
2010-02-04 263.127321
2010-02-05 265.380075
2010-02-08 266.468996
2010-02-09 267.952522
2010-02-10 266.958496
2010-02-11 267.932539
2010-02-12 266.29417
2010-02-16 270.380071
2010-02-17 268.836627
2010-02-18 271.339119
2010-02-19 270.11035
2010-02-22 271.129347
2010-02-23 267.268182
2010-02-24 265.469982
2010-02-25 262.952495
2010-02-26 263.137328
2010-03-01 266.079379
2010-03-02 270.260205
2010-03-03 272.388075
2010-03-04 277.018467
2010-03-05 281.823654
2010-03-08 280.959532
2010-03-09 279.815651
2010-03-10 287.937542
2010-03-11 290.280203
2010-03-12 289.481016
2010-03-15 281.309183
2010-03-16 282.318173
2010-03-17 282.497987
2010-03-18 282.917563
2010-03-19 279.720756
2010-03-22 278.472004
2010-03-23 274.226241
2010-03-24 278.387085
2010-03-25 281.159328
2010-03-26 281.064433
2010-03-29 280.944537
2010-03-30 283.072406
2010-03-31 283.277222
2010-04-01 284.116374
2010-04-05 285.220259
2010-04-06 283.82667
2010-04-07 281.488997
2010-04-08 283.462024
2010-04-09 282.827656
2010-04-12 286.079424
2010-04-13 293.092412
2010-04-14 294.206303
2010-04-15 297.35317
2010-04-16 274.80066
2010-04-19 274.775689
2010-04-20 277.243234
2010-04-21 276.8736
2010-04-22 273.257216
2010-04-23 272.223256
2010-04-26 265.554901
2010-04-27 264.266183
2010-04-28 264.33112
2010-04-29 265.734715
2010-04-30 262.587849
2010-05-03 265.035411
2010-05-04 252.932505
2010-05-05 254.625804
2010-05-06 249.086335
2010-05-07 246.324099
2010-05-10 260.564881
2010-05-11 254.271164
2010-05-12 252.44299
2010-05-13 255.185259
2010-05-14 253.511928
2010-05-17 253.731707
2010-05-18 248.936496
2010-05-19 246.968457
2010-05-20 237.268145
2010-05-21 235.789622
2010-05-24 238.342071
2010-05-25 238.297118
2010-05-26 237.497916
2010-05-27 244.98544
2010-05-28 242.572839
2010-06-01 240.944477
2010-06-02 246.438992
2010-06-03 252.547891
2010-06-04 249.111322
2010-06-07 242.517894
2010-06-08 242.14826
2010-06-09 236.773626
2010-06-10 243.262151
2010-06-11 244.006409
2010-06-14 241.354061
2010-06-15 248.746675
2010-06-16 250.385044
2010-06-17 249.790642
2010-06-18 249.765656
2010-06-21 244.036383
2010-06-22 242.882541
2010-06-23 240.78463
2010-06-24 237.313098
2010-06-25 236.104296
2010-06-28 235.804602
2010-06-29 226.903491
2010-06-30 222.253131
2010-07-01 219.525857
2010-07-02 218.05731
2010-07-06 217.817563
2010-07-07 224.875504
2010-07-08 228.052345
2010-07-09 233.511882
2010-07-12 237.67773
2010-07-13 244.35606
2010-07-14 245.424998
2010-07-15 246.763657
2010-07-16 229.575821
2010-07-19 232.857547
2010-07-20 240.554859
2010-07-21 238.511894
2010-07-22 242.163255
2010-07-23 244.785628
2010-07-26 244.241183
2010-07-27 246.069357
2010-07-28 241.933484
2010-07-29 242.253162
2010-07-30 242.183237
2010-08-02 244.960454
2010-08-03 244.67075
2010-08-04 252.907519
2010-08-05 253.796643
2010-08-06 249.860567
2010-08-09 252.423007
2010-08-10 251.603822
2010-08-11 245.624795
2010-08-12 245.759655
2010-08-13 242.932482
2010-08-16 242.552857
2010-08-17 245.015398
2010-08-18 240.834572
2010-08-19 233.751644
2010-08-20 230.779619
2010-08-23 231.803589
2010-08-24 225.469922
2010-08-25 227.083305
2010-08-26 225.265122
2010-08-27 229.186204
2010-08-30 226.119268
2010-08-31 224.785598
2010-09-01 229.935464
