"Index" "F.Adjusted"
2010-07-16 8.936169
2010-07-19 9.046494
2010-07-20 9.25926
2010-07-21 9.101653
2010-07-22 9.527186
2010-07-23 10.023642
2010-07-26 10.197004
2010-07-27 10.26793
2010-07-28 10.173365
2010-07-29 10.220647
2010-07-30 10.063042
2010-08-02 10.37037
2010-08-03 10.173365
2010-08-04 10.330969
2010-08-05 10.228527
2010-08-06 10.275809
2010-08-09 10.283688
2010-08-10 10.181245
2010-08-11 9.779353
2010-08-12 9.669033
2010-08-13 9.574469
2010-08-16 9.448384
2010-08-17 9.582348
2010-08-18 9.613871
2010-08-19 9.369583
2010-08-20 9.275023
2010-08-23 9.148936
2010-08-24 8.857368
2010-08-25 8.92041
2010-08-26 8.802209
2010-08-27 9.109533
2010-08-30 8.944051
2010-08-31 8.89677
2010-09-01 9.148936
2010-09-02 9.227739
2010-09-03 9.511426
2010-09-07 9.298661
2010-09-08 9.298661
2010-09-09 9.25926
2010-09-10 9.29078
2010-09-13 9.448384
2010-09-14 9.440505
2010-09-15 9.353823
2010-09-16 9.802994
2010-09-17 9.842395
2010-09-20 9.905437
2010-09-21 9.889679
2010-09-22 9.755715
2010-09-23 9.70055
2010-09-24 9.897555
2010-09-27 9.834516
2010-09-28 9.866036
2010-09-29 9.716309
2010-09-30 9.645389
2010-10-01 9.66115
2010-10-04 10.118203
2010-10-05 10.252167
2010-10-06 10.433413
2010-10-07 10.496453
2010-10-08 10.764383
2010-10-11 10.858945
2010-10-12 10.858945
2010-10-13 10.748623
2010-10-14 10.961385
2010-10-15 10.874702
2010-10-18 10.937745
2010-10-19 10.496453
2010-10-20 10.748623
2010-10-21 10.882586
2010-10-22 10.992907
2010-10-25 11.150512
2010-10-26 11.315997
2010-10-27 11.213554
2010-10-28 11.205674
2010-10-29 11.134752
2010-11-01 11.213554
2010-11-02 11.371159
2010-11-03 11.962174
2010-11-04 12.498032
2010-11-05 12.773839
2010-11-08 12.931441
2010-11-09 12.663516
2010-11-10 13.104806
2010-11-11 13.089046
2010-11-12 12.844757
2010-11-15 13.396377
2010-11-16 13.010243
2010-11-17 13.144211
2010-11-18 12.702917
2010-11-19 12.829
2010-11-22 12.765956
