Date APPLE AMAZON FORD GOOGLE MICROSOFT VOLKSWAGEN
2007-11-28 22.401373 90.300003 5.074003 344.837463 25.534435 NA
2007-11-29 22.907272 89.150002 5.025746 347.198608 25.451086 NA
2007-11-30 22.649973 90.559998 5.177414 345.206085 25.458672 NA
2007-12-03 22.232321 90.910004 4.998169 339.492493 24.94343 NA
2007-12-04 22.350409 94.410004 4.805137 340.802582 24.829779 NA
2007-12-05 23.057673 93.190002 4.81203 347.950806 25.875401 NA
2007-12-06 23.610807 94.209999 4.867182 356.294525 26.178482 NA
2007-12-07 24.151518 94.309998 4.867182 356.10025 26.163326 NA
2007-12-10 24.140327 93.019997 4.922335 357.868622 26.337599 NA
2007-12-11 23.435551 90.75 4.805137 348.294495 25.837509 NA
2007-12-12 23.723923 91.279999 4.867182 348.369232 26.117865 NA
2007-12-13 23.844496 92.400002 4.818926 345.729126 26.686138 NA
2007-12-14 23.665503 89.080002 4.749985 343.691772 26.754333 NA
2007-12-17 22.920942 85.089996 4.687938 333.365479 26.05724 NA
2007-12-18 22.744442 86.889999 4.694832 335.417786 26.322445 NA
2007-12-19 22.761839 89.379997 4.660362 337.420258 26.360329 NA
2007-12-20 23.270227 90.580002 4.681044 343.557251 26.91345 NA
2007-12-21 24.103043 91.260002 4.681044 347.044189 27.322599 NA
2007-12-24 24.710867 91.010002 4.653467 349.056641 27.716614 NA
2007-12-26 24.729515 92.849998 4.749985 354.092773 27.739353 NA
2007-12-27 24.682278 94.25 4.715513 349.061646 27.254414 NA
2007-12-28 24.838896 94.449997 4.618998 349.953278 27.368065 NA
2007-12-31 24.62137 92.639999 4.639681 344.448914 26.974064 NA
2008-01-02 24.218641 96.25 4.550057 341.315674 26.686138 NA
2008-01-03 24.229824 95.209999 4.446647 341.385406 26.799799 NA
2008-01-04 22.380234 88.790001 4.226039 327.273285 26.049675 NA
2008-01-07 22.080675 88.82 4.24672 323.412781 26.223944 NA
2008-01-08 21.286396 87.879997 4.205356 314.660583 25.345016 NA
2008-01-09 22.299444 85.220001 4.184674 325.380402 26.095127 NA
2008-01-10 22.127913 84.260002 4.308766 322.157471 26.011787 NA
2008-01-11 21.465391 81.080002 4.177781 317.933319 25.693554 NA
2008-01-14 22.22238 82.870003 4.260508 325.68924 26.05724 NA
2008-01-15 21.011692 80.239998 4.115734 317.63443 25.761751 NA
2008-01-16 19.843267 80.349998 4.0399 306.824951 25.178324 NA
2008-01-17 19.99865 80.120003 3.97096 299.273254 25.087391 NA
2008-01-18 20.057064 79.760002 4.081264 299.004272 25.011621 NA
2008-01-22 19.346073 78.480003 4.088157 291.083954 24.216036 NA
2008-01-23 17.286425 73.970001 4.343237 273.285645 24.193312 NA
2008-01-24 16.855103 77.669998 4.31566 286.172363 25.19348 NA
2008-01-25 16.160263 77.599998 4.536269 282.142456 24.958584 NA
2008-01-28 16.160263 75.82 4.598316 276.951904 24.791893 NA
2008-01-29 16.350443 73.949997 4.612104 274.232117 24.700966 NA
2008-01-30 16.429996 74.209999 4.653467 273.111298 24.397888 NA
2008-01-31 16.825266 77.699997 4.577632 281.096375 24.700966 NA
2008-02-01 16.625145 74.629997 4.722407 256.986755 23.071918 NA
2008-02-04 16.364109 73.949997 4.605208 246.789978 22.874907 NA
2008-02-05 16.079466 72.089996 4.432859 252.453735 22.026289 NA
2008-02-06 15.164618 68.489998 4.350131 249.918243 21.60956 NA
2008-02-07 15.070151 70.910004 4.253615 251.532196 21.306479 NA
2008-02-08 15.59718 73.5 4.191568 257.38028 21.639868 NA
2008-02-11 16.090656 75.190002 4.405282 259.606934 21.374674 NA
2008-02-12 15.520117 74.449997 4.453541 258.077667 21.473171 NA
2008-02-13 16.084436 77.730003 4.536269 266.311798 21.942953 NA
2008-02-14 15.843295 75.800003 4.453541 265.131226 21.5944 NA
2008-02-15 15.491525 72.959999 4.446647 263.831085 21.533792 NA
2008-02-19 15.186989 72.080002 4.46733 253.524734 21.427298 NA
2008-02-20 15.390842 73.639999 4.419071 253.549637 21.465334 NA
2008-02-21 15.107439 69.900002 4.294979 250.491104 21.374056 NA
2008-02-22 14.848895 72.080002 4.308766 252.951874 21.054585 NA
2008-02-25 14.8837 73.269997 4.453541 242.311752 21.176283 NA
2008-02-26 14.810359 71.690002 4.494905 231.228302 21.587038 NA
2008-02-27 15.283946 70.870003 4.550057 235.547119 21.495756 NA
2008-02-28 16.147829 67.849998 4.563845 236.807388 21.24474 NA
2008-02-29 15.540001 64.470001 4.501799 234.710251 20.689484 NA
2008-03-03 15.131056 62.43 4.260508 227.656693 20.529736 NA
2008-03-04 15.490279 65.339996 4.226039 221.469879 20.98613 NA
2008-03-05 15.474121 64.989998 4.219144 223.014084 21.389265 NA
2008-03-06 15.031615 62.740002 4.095051 215.542099 20.970921 NA
2008-03-07 15.195691 64.089996 3.984748 215.865875 21.19911 NA
2008-03-10 14.877481 63.470001 3.860653 206.03772 21.33602 NA
2008-03-11 15.829622 67.150002 4.067475 219.09877 22.271612 NA
2008-03-12 15.665545 66.510002 3.929594 219.268127 21.777191 NA
2008-03-13 15.902957 68.32 3.71588 220.677841 21.769588 NA
2008-03-14 15.737639 68.220001 3.646939 218.142349 21.267563 NA
2008-03-17 15.752557 66.529999 3.522847 209.151047 21.526182 NA
2008-03-18 16.509535 71.699997 3.646939 218.76004 22.378094 NA
2008-03-19 16.118 70.169998 3.757244 215.193405 21.769588 NA
2008-03-20 16.565475 73.190002 3.874443 215.965515 22.195551 NA
2008-03-24 17.343601 75.949997 4.10884 229.420074 22.187937 NA
2008-03-25 17.52383 75.169998 4.136416 224.54834 22.165123 NA
2008-03-26 18.030985 73.800003 4.046793 228.239502 21.723951 NA
2008-03-27 17.433088 70.800003 4.019218 221.210846 21.33602 NA
2008-03-28 17.776163 69.760002 3.853761 218.222046 21.229532 NA
2008-03-31 17.837072 71.300003 3.943383 219.412582 21.587038 NA
2008-04-01 18.586599 76.699997 4.115734 231.985458 22.438957 NA
2008-04-02 18.333029 77.370003 4.226039 231.980484 22.180336 NA
2008-04-03 18.84515 74.940002 4.453541 226.710236 22.058626 NA
2008-04-04 19.027864 76.870003 4.474223 234.665421 22.180336 NA
2008-04-07 19.37715 76.900002 4.639681 237.519714 22.180336 NA
2008-04-08 18.998034 77.300003 4.763773 233.03154 21.868471 NA
2008-04-09 18.824011 74.389999 4.632785 231.228302 21.974964 NA
2008-04-10 19.210585 74.830002 4.646574 233.664169 22.142302 NA
2008-04-11 18.28952 71.989998 4.612104 227.87088 21.510962 NA
2008-04-14 18.369074 72.610001 4.67415 224.986694 21.343632 NA
2008-04-15 18.443655 72.5 4.743091 222.585693 21.488152 NA
2008-04-16 19.104939 74.589996 4.956805 226.665405 22.020601 NA
2008-04-17 19.203129 74.040001 5.005062 223.930649 22.225977 NA
2008-04-18 20.017294 80.099998 5.136049 268.697845 22.819267 NA
2008-04-21 20.902311 80.18 5.329082 267.890869 23.138746 NA
2008-04-22 19.912884 79.599998 5.27393 276.463745 23.009439 NA
2008-04-23 20.24725 81 5.184307 272.22464 23.922209 NA
2008-04-24 20.999262 77.690002 5.790982 270.506073 24.188431 NA
2008-04-25 21.09746 80.860001 5.170519 271.01416 22.689968 NA
2008-04-28 21.409454 81.970001 5.659995 275.029114 22.051027 NA
2008-04-29 21.758741 80.739998 5.59795 278.192261 21.784801 NA
2008-04-30 21.622013 78.629997 5.694465 286.072723 21.693525 NA
2008-05-01 22.374029 79.360001 5.846134 295.432648 22.362892 NA
2008-05-02 22.49087 77.309998 5.701358 289.559662 22.241188 NA
2008-05-05 22.961966 75.919998 5.742724 296.339233 22.119488 NA
2008-05-06 23.201864 75.709999 5.701358 292.085205 22.591084 NA
2008-05-07 22.695963 73.18 5.487646 288.418945 22.218369 NA
2008-05-08 23.002985 72.790001 5.653102 290.416443 22.264002 NA
2008-05-09 22.802856 72.410004 5.584161 285.529755 22.355282 NA
2008-05-12 23.388311 74.529999 5.618632 291.377838 22.811668 NA
2008-05-13 23.612049 74.559998 5.673783 290.411469 22.735331 NA
2008-05-14 23.152143 74.199997 5.611738 287.073975 22.849842 NA
2008-05-15 23.583462 76.120003 5.63242 289.415192 23.246826 NA
2008-05-16 23.321188 76.459999 5.591055 288.951935 22.895651 NA
2008-05-19 22.821503 82.290001 5.529009 287.681702 22.491028 NA
2008-05-20 23.107401 80.720001 5.515221 288.219696 21.95661 NA
2008-05-21 22.149036 78.300003 5.37734 273.968109 21.567261 NA
2008-05-22 22.007339 79.260002 4.936123 273.704102 21.735214 NA
2008-05-23 22.519453 78.349998 4.736197 271.293121 21.414568 NA
2008-05-27 23.173273 80.620003 4.687938 279.40274 21.712309 NA
2008-05-28 23.245367 80.080002 4.67415 283.059021 21.513824 NA
2008-05-29 23.205589 80.349998 4.625893 290.411469 21.613064 NA
2008-05-30 23.461653 81.620003 4.687938 291.806244 21.620695 NA
2008-06-02 23.132261 80.230003 4.577632 286.426392 21.223707 NA
2008-06-03 23.041508 80.110001 4.605208 282.59079 20.849621 NA
2008-06-04 23.019142 81.5 4.453541 285.041595 21.025215 NA
2008-06-05 23.546171 84.510002 4.412179 292.055298 21.605425 NA
2008-06-06 23.075077 80.629997 4.163991 282.441345 20.987043 NA
2008-06-09 22.574152 79.43 4.384601 277.893402 21.154995 NA
2008-06-10 23.075077 79.620003 4.219144 276.050293 21.292414 NA
2008-06-11 22.474701 77.279999 4.115734 271.582031 20.704563 NA
2008-06-12 21.53624 76.150002 4.136416 275.442566 21.559624 NA
2008-06-13 21.425613 79.169998 4.322555 284.687927 22.193287 NA
2008-06-16 21.981237 81.699997 4.481117 285.33548 22.086403 NA
2008-06-17 22.551779 82.970001 4.550057 283.666748 21.987152 NA
2008-06-18 22.218649 82.519997 4.288083 280.139954 21.727581 NA
2008-06-19 22.485895 84.260002 4.357025 279.054047 22.086403 NA
2008-06-20 21.786083 81.099998 4.005428 272.194733 21.551991 NA
2008-06-23 21.523808 80.68 3.640046 271.587036 21.353497 NA
2008-06-24 21.534998 79.639999 3.667623 270.137451 21.170265 NA
2008-06-25 22.049606 80.510002 3.61247 274.471222 21.6436 NA
2008-06-26 20.914749 76.300003 3.49527 263.422638 21.185535 NA
2008-06-27 21.142208 74.660004 3.433225 263.049042 21.093924 NA
2008-06-30 20.812817 73.330002 3.316027 262.227112 21.002312 NA
2008-07-01 21.712742 73.620003 3.247087 266.366608 20.513706 NA
2008-07-02 20.904797 71.440002 3.005796 262.53595 19.757895 NA
2008-07-03 21.145941 72 3.04716 267.497345 19.834246 NA
2008-07-07 21.772411 72.489998 3.081629 270.939453 19.872416 NA
2008-07-08 22.318089 75.040001 3.378073 276.229614 19.734997 NA
2008-07-09 21.659298 70.610001 3.412543 269.763855 19.261665 NA
2008-07-10 21.95513 70.629997 3.157464 269.275696 19.429623 NA
2008-07-11 21.451723 68.540001 3.350496 265.90332 19.276924 NA
2008-07-14 21.613306 66.279999 3.212616 259.83606 19.200583 NA
2008-07-15 21.086273 67.029999 3.205722 257.08139 19.964018 NA
2008-07-16 21.480307 71.839996 3.78482 266.799957 20.811451 NA
2008-07-17 21.355999 72.110001 3.78482 265.723999 21.009953 NA
2008-07-18 20.528164 69.120003 3.750352 239.761322 19.74263 NA
2008-07-21 20.669867 68.480003 3.777927 233.524689 19.574677 NA
2008-07-22 20.139103 67.970001 4.026111 237.664169 19.696825 NA
2008-07-23 20.666143 70.540001 4.157098 243.696564 20.17779 NA
2008-07-24 19.767448 78.720001 3.522847 236.921951 19.421984 NA
2008-07-25 20.151535 78.309998 3.481484 245.071411 19.971663 NA
2008-07-28 19.191944 75.980003 3.274664 237.669159 19.467789 NA
2008-07-29 19.525068 78.209999 3.460801 240.652969 19.933493 NA
